Rank,Restaurant Name,City,Country,Continent,Tasting menu from(USD),Tasting menu from(AUD),Latitude,Longitude,Michelin,Type,MICHELIN Green Star
1,Central,Lima,Peru,South America,180,283,-12.15264587,-77.02245759,,Peruvian,
2,Disfrutar,Barcelona,Spain,Europe,165,259,41.387772072430764,2.1532112674820243,2,Creative,
3,DiverXO,Madrid,Spain,Europe,280,440,40.45790022172081,-3.685777501,3,Creative,
4,Asador Etxebarri,Atxondo,Spain,Europe,200,314,43.11587272181455,-2.598470693,1,Grills,
5,Alchemist,Copenhagen,Denmark,Europe,570,895,55.693969631656095,12.613875375442964,2,Innovative,1
6,Maido,Lima,Peru,South America,150,236,-12.12541634,-77.0305759,,,
7,Lido 84,Gardone Riviera,Italy,Europe,100,157,45.62515961,10.57556657650447,1,Creative,
8,Atomix,New York,United States,North America,205,322,40.74429238090044,-73.98280692,2,"Korean,Contemporary",
9,Quintonil,Mexico City,Mexico,North America,120,188,19.430899953410826,-99.1917555,,,
10,Table by Bruno Verjus,Paris,France,Europe,125,196,48.84880066730126,2.375858659925387,2,Modern Cuisine,1
11,Tresind Studio,Dubai,United Arab Emirates,Asia,135,212,25.11423764920976,55.13961768334669,2,Indian,
12,A Casa do Porco,Sao Paulo,Brazil,South America,40,63,-23.54490869,-46.64473706,,,
13,Pujol,Mexico City,Mexico,North America,120,188,19.432379160517932,-99.19483765,,,
14,Odette,Singapore,Singapore,Asia,110,173,1.2897078332006944,103.85144321879207,3,French Contemporary,
15,Le Du,Bangkok,Thailand,Asia,75,118,13.725038224233897,100.5293612045455,1,Thai contemporary,
16,Reale,Castel di Sangro,Italy,Europe,190,298,41.779994009450874,14.094600016321069,3,"Creative, Modern Cuisine",
17,Gaggan Anand,Bangkok,Thailand,Asia,100,157,13.740787524821043,100.56758637112424,,,
18,Steirereck,Vienna,Austria,Europe,115,181,48.20446277427626,16.381395425302916,2,"Creative, Contemporary",
19,Don Julio,Buenos Aires,Argentina,South America,30,47,-34.58630853,-58.42430574,,,
20,Quique Dacosta,Denia,Spain,Europe,235,369,38.85374027718998,0.085201566,3,Creative,
21,Den,Tokyo,Japan,Asia,140,220,35.67317799244068,139.71271887543907,2,Japanese,1
22,Elkano,Getaria,Spain,Europe,60,94,43.30302546514928,-2.204963822,1,"Seafood, Grills",
23,Kol,London,United Kingdom,Europe,135,212,51.51476596,-0.157523232,1,"Mexican, Modern Cuisine",
24,Septime,Paris,France,Europe,65,102,48.853577490434034,2.3809333223093128,1,Modern Cuisine,1
25,Belcanto,Lisbon,Portugal,Europe,185,290,38.71009871556309,-9.141466252,2,"Creative, Portuguese",
26,Schloss Schauenstein,Furstenau,Switzerland,Europe,250,393,46.72115314453201,9.445999449,3,"Creative, Country cooking",1
27,Florilege,Tokyo,Japan,Asia,70,110,35.661611876763516,139.74344615239207,2,French,1
28,Kjolle,Lima,Peru,South America,125,196,-12.15288997,-77.02257551,,,
